Subject,Predicate,Object
me:person_Edward_Yang,owl:sameAs,viaf:32206370
me:person_Hou_Hsiao_hsien,owl:sameAs,viaf:59922938
me:person_Wu_Nien_jen,owl:sameAs,viaf:27278925
me:person_Huang_Qingqi,owl:sameAs,viaf:264144928079754341420
me:person_Mandel_Ngan,owl:sameAs,<https://www.instagram.com/mandelngan/>
me:organization_UF,owl:sameAs,wd:Q501758
me:person_Tezuka_Osamu,owl:sameAs,viaf:40771534
me:organization_Tezuka_Productions,owl:sameAs,wd:Q2090847
me:organization_Mushi_Production,owl:sameAs,wd:Q1377799
me:person_John_Anderson,owl:sameAs,wd:Q6219000
me:person_Annping_Chin,owl:sameAs,viaf:112077809
me:organization_Penguin_Books,owl:sameAs,wd:Q1336200
me:organization_China_Times,owl:sameAs,wd:Q697429
me:publisher_UI_Press,owl:sameAs,wd:Q2080232
me:organization_Internet_Archive,owl:sameAs,wd:Q461
me:organization_Wenxin_Magazine,owl:sameAs,wd:Q11079943
me:concept_humanism,owl:sameAs,wd:Q46158
me:concept_Urban_Life,owl:sameAs,lcsh:sh85026255
me:concept_urban_modernity,owl:sameAs,lcsh:sh85026469
me:concept_Institutional_Reform,owl:sameAs,wd:Q11943714
me:concept_alienation,owl:sameAs,lcsh:sh85003542
me:device_Canon_5D_Mark_II,owl:sameAs,wd:Q64962
