Subject,Predicate,Object
1987 Taiwan Cinema Manifesto,has primary source,https://www.twreporter.org/a/saturday-features-film-interview-jan-hung-tze
1987 Taiwan Cinema Manifesto,has chinese translation,1987 臺灣電影宣言
1987 Taiwan Cinema Manifesto,has archival source,https://p.udpweb.com/wxm/i/volno/0:104
1987 Taiwan Cinema Manifesto,has bibliographic source,https://search.worldcat.org/zh-cn/title/66161126
1987 Taiwan Cinema Manifesto,has publisher,China Times
1987 Taiwan Cinema Manifesto,has type,Manifesto
1987 Taiwan Cinema Manifesto,has spatial coverage,Taiwan
1987 Taiwan Cinema Manifesto,has creator,Edward Yang
1987 Taiwan Cinema Manifesto,has creator,Hou Hsiao-hsien
1987 Taiwan Cinema Manifesto,has creator,Wu Nien-jen
1987 Taiwan Cinema Manifesto,has publication date,1987-02-01
1987 Taiwan Cinema Manifesto,has publisher,Wenxin Magazine
1987 Taiwan Cinema Manifesto,has place of publication,Taiwan
1987 Taiwan Cinema Manifesto,has language,Traditional Chinese
1987 Taiwan Cinema Manifesto,has historical context,before the end of Martial Law
1987 Taiwan Cinema Manifesto,has subject,Taiwan New Cinema
1987 Taiwan Cinema Manifesto,has subject,Institutional Reform
