Subject,Predicate,Object
A Confucian Confusion,has source,https://www.imdb.com/title/tt0109685/
A Confucian Confusion,has identifier,tt0109685
A Confucian Confusion,has type,Moving Image
A Confucian Confusion,has director,Edward Yang
A Confucian Confusion,has genre,Black Comedy
A Confucian Confusion,has genre,Drama
A Confucian Confusion,has genre,Romance
A Confucian Confusion,has category,Taiwan New Cinema
A Confucian Confusion,has subject,Urban Modernity
A Confucian Confusion,has subject,Confucianism
A Confucian Confusion,has subject,Taipei
A Confucian Confusion,has subject,Capitalism
A Confucian Confusion,has filming location,Taiwan
A Confucian Confusion,has language,Mandarin
A Confucian Confusion,has language,Min Nan
A Confucian Confusion,has release date,1994
A Confucian Confusion,has production company,Atom Films
A Confucian Confusion,has format,1.85:1; 35 mm; 125 min
A Confucian Confusion,is inspired by,The Analects
