Subject,Predicate,Object
Astro Boy: THE BRAVE IN SPACE,has source,https://tezukaosamu.net/en/anime/5.html
Astro Boy: THE BRAVE IN SPACE,has type,Animation
Astro Boy: THE BRAVE IN SPACE,has director,Tezuka Osamu
Astro Boy: THE BRAVE IN SPACE,has studio,"Tezuka Productions Co., Ltd."
Astro Boy: THE BRAVE IN SPACE,has studio,Mushi Production
Astro Boy: THE BRAVE IN SPACE,has release date,1964-07-26
Astro Boy: THE BRAVE IN SPACE,has language,Japanese
Astro Boy: THE BRAVE IN SPACE,has format,87 minutes; partially in color
Astro Boy: THE BRAVE IN SPACE,has subject,Modernity
Astro Boy: THE BRAVE IN SPACE,has subject,Humanism
