Subject,Predicate,Object
Atom Films,has chinese translation,原子影視傳播有限公司
Atom Films,has source,https://findbiz.nat.gov.tw/fts/query/QueryBar/queryInit.do?disj=19D8F5E6C1E0A7CE09CFC6CADDAB9A88&fhl=zh_TW
Atom Films,has identifier,86892661
Atom Films,has archival source,docs/Business_Registration_Atom_Films.pdf
Atom Films,has format,PDF
Atom Films,has type,Organization
Atom Films,has type,Independent Film Production Company
Atom Films,has creator,Edward Yang
Atom Films,has registration status,nullified
Atom Films,has release date,1992-11-17
Atom Films,has capital in NTD,8400000
Atom Films,has location,Taiwan
Atom Films,reflects,Independent Cinema
Atom Films,reflects,Taiwan New Cinema
Atom Films,reflects,Institutional Reform
Atom Films,is inspired by,Astro Boy: THE BRAVE IN SPACE
