Subject,Predicate,Object
Edward Yang (Contemporary Film Directors),has source,https://archive.org/details/edwardyang00ande/mode/2up
Edward Yang (Contemporary Film Directors),has identifier,ISBN 978-0252072369
Edward Yang (Contemporary Film Directors),has digital identifier,urn:oclc:record:1033573422
Edward Yang (Contemporary Film Directors),has type,Biography
Edward Yang (Contemporary Film Directors),has author,John Anderson
Edward Yang (Contemporary Film Directors),has publication date,2005
Edward Yang (Contemporary Film Directors),has language,English
Edward Yang (Contemporary Film Directors),has publisher,University of Illinois Press
Edward Yang (Contemporary Film Directors),is part of collection,Contemporary Film Directors
Edward Yang (Contemporary Film Directors),is archived at,Internet Archive
Edward Yang (Contemporary Film Directors),has scanner,Canon EOS 5D Mark II
Edward Yang (Contemporary Film Directors),has archive date,2013-12-18
Edward Yang (Contemporary Film Directors),has subject,Edward Yang
Edward Yang (Contemporary Film Directors),has subject,Film Criticism
Edward Yang (Contemporary Film Directors),has subject,Taiwan New Cinema
Edward Yang (Contemporary Film Directors),has subject,Modernity
