Subject,Predicate,Object
John R. Benton Hall,has source,https://www.eng.ufl.edu/facilities/hwcoe-buildings-information/hwcoe-building-directory/name/john-r-benton-hall/
John R. Benton Hall,has identifier,721
John R. Benton Hall,has type,Building
John R. Benton Hall,has campus location,946 Center Dr.Gainesville FL 32611
John R. Benton Hall,has year built,1967
John R. Benton Hall,has number of levels,4
John R. Benton Hall,has number of rooms,67
John R. Benton Hall,has gross square foot,25878
John R. Benton Hall,is part of,University of Florida
John R. Benton Hall,has department,ECE Department
John R. Benton Hall,has subject,STEM Education
John R. Benton Hall,has subject,Rationalism
John R. Benton Hall,has subject,Spatial Biography
John R. Benton Hall,has subject,Globalization
