Subject,Predicate,Object
Map of Streets in Taipei City under Direct Jurisdiction,has source,https://collections.nmth.gov.tw/CollectionContent.aspx?a=132&RNO=2004.003.0188#
Map of Streets in Taipei City under Direct Jurisdiction,has identifier,2004.003.0188
Map of Streets in Taipei City under Direct Jurisdiction,has type,Map
Map of Streets in Taipei City under Direct Jurisdiction,has maker,Ta-Yu Publishing House
Map of Streets in Taipei City under Direct Jurisdiction,has year description,1985
Map of Streets in Taipei City under Direct Jurisdiction,has origin,Taipei
Map of Streets in Taipei City under Direct Jurisdiction,has category,Post-World War II Thematic Maps
Map of Streets in Taipei City under Direct Jurisdiction,has material,Paper
Map of Streets in Taipei City under Direct Jurisdiction,has subject,Taipei
Map of Streets in Taipei City under Direct Jurisdiction,has cataloging date,2013-10-24
Map of Streets in Taipei City under Direct Jurisdiction,has cataloger,Huang Qingqi
