Subject,Predicate,Object
"Stage photo of ""Journey to the East 97 Beijing, Hong Kong, Taipei""",has source,https://www.gettyimages.nl/detail/nieuwsfoto%27s/actors-play-a-scene-from-a-sketch-by-director-edward-yang-nieuwsfotos/2254629295?adppopup=true
"Stage photo of ""Journey to the East 97 Beijing, Hong Kong, Taipei""",has identifier,2254629295
"Stage photo of ""Journey to the East 97 Beijing, Hong Kong, Taipei""",has type,Social documentary photography
"Stage photo of ""Journey to the East 97 Beijing, Hong Kong, Taipei""",has creator,Mandel Ngan
"Stage photo of ""Journey to the East 97 Beijing, Hong Kong, Taipei""",has director,Edward Yang
"Stage photo of ""Journey to the East 97 Beijing, Hong Kong, Taipei""",has date,1997-03-01
"Stage photo of ""Journey to the East 97 Beijing, Hong Kong, Taipei""",has location,Hong Kong Arts Center
"Stage photo of ""Journey to the East 97 Beijing, Hong Kong, Taipei""",has subject,Experimental theatre
"Stage photo of ""Journey to the East 97 Beijing, Hong Kong, Taipei""",has location,Hong Kong
"Stage photo of ""Journey to the East 97 Beijing, Hong Kong, Taipei""",has format,"1024 x 720 px (8,67 x 6,10 cm) - 300 dpi -"
"Stage photo of ""Journey to the East 97 Beijing, Hong Kong, Taipei""",reflects,1987 Taiwan Cinema Manifesto
