Subject,Predicate,Object
The Analects,has source,https://archive.org/details/theanalectsconfucius/page/n37/mode/2up
The Analects,has identifier,ISBN 978-0-698-15351-6
The Analects,has digital identifier,ark:/13960/t9d59554c
The Analects,has type,Book
The Analects,has author,Confucius
The Analects,has translator,Annping Chin
The Analects,has publication date,2014
The Analects,has publisher,Penguin Books
The Analects,is part of collection,Folkscanomy
The Analects,has language,English
The Analects,is archived at,Internet Archive
The Analects,has scanner,Internet Archive HTML5 Uploader
The Analects,has archive date,2020-02-16
The Analects,has subject,Confucianism
The Analects,has subject,Chinese Philosophy
