Subject,Predicate,Object
Yi Yi: A One and a Two,has source,https://www.festival-cannes.com/en/f/yi-yi-2
Yi Yi: A One and a Two,has type,Moving Image
Yi Yi: A One and a Two,has director,Edward Yang
Yi Yi: A One and a Two,has festival edition,53rd Festival de Cannes (2000)
Yi Yi: A One and a Two,has category,Taiwan New Cinema
Yi Yi: A One and a Two,has genre,Drama
Yi Yi: A One and a Two,has genre,Romance
Yi Yi: A One and a Two,has award,Best Director
Yi Yi: A One and a Two,has duration,173 minutes
Yi Yi: A One and a Two,has release date,2000-12-16
Yi Yi: A One and a Two,has language,Mandarin
Yi Yi: A One and a Two,has language,Min Nan
Yi Yi: A One and a Two,has filming location,Taiwan
Yi Yi: A One and a Two,has production country,Japan
Yi Yi: A One and a Two,has production country,Taiwan
Yi Yi: A One and a Two,has production company,Atom Films
Yi Yi: A One and a Two,is about,Urban Life
Yi Yi: A One and a Two,has subject,Humanism
Yi Yi: A One and a Two,has subject,Modernity
Yi Yi: A One and a Two,has subject,Deconstruction
